time,seconds_elapsed,activity
1776554381472000000,0.108,stationary
1776554382078000000,0.714000244140625,unknown
1776554385961000000,4.597,walking
1776554386275000000,4.911,walking
1776554388507000000,7.143,walking
1776554389788000000,8.424,stationary
1776554393010000000,11.645999755859375,walking
1776554393325000000,11.961,stationary
1776554396539000000,15.175,stationary
1776554413592000000,32.228,walking
1776554413888000000,32.524,walking
1776554416780000000,35.416,walking
1776554437352000000,55.988,unknown
1776554439911000000,58.547,unknown
1776554447628000000,66.264,walking
