time,seconds_elapsed,activity
1776554601820000000,0.072,walking
1776554604718000000,2.970000244140625,walking
1776554609554000000,7.805999755859375,walking
1776554611141000000,9.393,stationary
1776554611462000000,9.714000244140625,walking
1776554614029000000,12.281,walking
1776554614694000000,12.946000244140626,walking
1776554617262000000,15.514000244140625,walking
1776554638133000000,36.385,walking
1776554642314000000,40.56599975585937,walking
1776554643273000000,41.525,stationary
1776554643915000000,42.167,walking
1776554645547000000,43.799,unknown
