time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1776554164591860000,-41.84114013671875,129.87979774475096,-1,-1,30.281476881321478,156.33041076660155,-1,15.883505965380223,30,-97.73229719311544,-1
1776554206548404000,0.115404052734375,129.87979774475096,-1,-1,30.281476881321478,156.33041076660155,-1,15.883505965380223,30,-97.73229719311544,-1
1776554206551046000,0.1180458984375,132.44760464515244,-1,-1,30.281476684142525,158.89821766700302,-1,15.066720137821939,30,-97.73229778050545,-1
1776554206858180000,0.42518017578125,132.45147274817978,-1,-1,30.281476684102717,158.90208577003037,-1,15.067942547755091,30.000000000618503,-97.73229778055422,-1
1776554212519321900,6.08632177734375,132.44760464515244,-1,-1,30.281476611868783,158.89821766700302,-1,16.429722091767847,30,-97.73229801904813,-1
1776554212831297000,6.398297119140625,132.44760464515244,-1,-1,30.281476611544488,158.89821766700302,-1,16.473200482088686,30,-97.73229802006436,-1
1776554218524548000,12.091548095703125,132.44760464515244,-1,-1,30.28147657593518,158.89821766700302,-1,16.98129803757627,30,-97.73229815649485,-1
1776554218845391000,12.41239111328125,132.44760464515244,-1,-1,30.28147657585343,158.89821766700302,-1,17.00146274170952,30,-97.73229815677583,-1
1776554224525694700,18.09269482421875,132.44760464515244,-1,-1,30.281476561138355,158.89821766700302,-1,17.795646744623674,30,-97.73229823519635,-1
1776554224866804200,18.43380419921875,132.44760464515244,-1,-1,30.28147656105192,158.89821766700302,-1,17.833804563055732,30,-97.7322982355466,-1
1776554226024713000,19.591712890625,129.85479583740235,-1,-1,30.281476564384832,156.30540885925294,-1,19.018376658767615,30,-97.73229824829683,-1
1776554233955677000,27.522677001953124,129.85478630065919,-1,-1,30.281476351758116,156.30539932250977,-1,26.91404155753691,30,-97.73229339376634,-1
1776554234425411000,27.9924111328125,129.85478630065919,-1,-1,30.28147635131792,156.30539932250977,-1,27.021163308540793,30,-97.7322933837161,-1
1776554234464785200,28.03178515625,129.85478630065919,-1,-1,30.28147635131488,156.30539932250977,-1,27.022009016936924,30,-97.73229338364668,-1
1776554234472085000,28.0390849609375,129.85478630065919,-1,-1,30.281476351314765,156.30539932250977,-1,27.022041480399334,30,-97.732293383644,-1
1776554239480365000,33.04736499023438,129.690270203352,-1,-1,30.28144518843931,156.14088322520257,-1,30.24475261198569,30,-97.73238655744188,-1
