time,seconds_elapsed,z,y,x
1776021874321874700,0.066874755859375,-159.78785705566406,-42.01521301269531,-9.785537719726562
1776021874331868700,0.07686865234375,-159.72662353515625,-41.60438537597656,-10.345718383789062
1776021874341861600,0.086861572265625,-160.03781127929688,-41.91712951660156,-10.456832885742188
1776021874351855600,0.096855712890625,-160.02078247070312,-42.141815185546875,-10.212051391601562
1776021874361849600,0.106849609375,-159.20974731445312,-42.17866516113281,-10.181838989257812
1776021874371844600,0.1168447265625,-159.16201782226562,-42.205047607421875,-10.688262939453125
1776021874381837600,0.126837646484375,-159.8513946533203,-42.437408447265625,-10.778976440429688
1776021874391830800,0.136830810546875,-159.1709747314453,-42.254791259765625,-10.891815185546875
1776021874401824800,0.14682470703125,-159.22779846191406,-42.405181884765625,-11.027053833007812
1776021874411818800,0.15681884765625,-159.24647521972656,-42.141387939453125,-11.201019287109375
1776021874421811500,0.1668115234375,-158.8958282470703,-41.907379150390625,-11.080276489257812
1776021874431804700,0.1768046875,-159.19602966308594,-41.97613525390625,-11.08624267578125
1776021874441799700,0.186799560546875,-160.06375122070312,-41.76069641113281,-11.52911376953125
1776021874451793700,0.196793701171875,-159.6014862060547,-41.91328430175781,-11.100265502929688
1776021874461786600,0.20678662109375,-160.33148193359375,-41.17399597167969,-11.064041137695312
1776021874471779600,0.216779541015625,-160.2683563232422,-41.12370300292969,-10.23736572265625
1776021874481773600,0.226773681640625,-160.35997009277344,-41.121429443359375,-10.364089965820312
1776021874491766800,0.236766845703125,-160.78594970703125,-40.78227233886719,-9.990371704101562
1776021874501759500,0.246759521484375,-161.20620727539062,-40.927337646484375,-10.159820556640625
1776021874511752700,0.256752685546875,-161.4875030517578,-40.859832763671875,-10.130401611328125
1776021874521744600,0.26674462890625,-161.47865295410156,-40.41239929199219,-10.184707641601562
1776021874531738600,0.276738525390625,-161.7454071044922,-40.53858947753906,-10.017318725585938
1776021874541731600,0.286731689453125,-162.6599884033203,-40.211761474609375,-9.920257568359375
1776021874551725600,0.2967255859375,-161.87158203125,-39.63255310058594,-10.327133178710938
1776021874561719600,0.306719482421875,-162.16070556640625,-39.358428955078125,-10.43609619140625
1776021874571714600,0.316714599609375,-163.03269958496094,-39.68495178222656,-10.320693969726562
1776021874581709600,0.32670947265625,-163.5138702392578,-39.355804443359375,-10.053329467773438
1776021874591702800,0.336702880859375,-163.8934326171875,-39.04093933105469,-9.4932861328125
1776021874601695500,0.346695556640625,-164.48760986328125,-38.49153137207031,-8.778167724609375
1776021874611688700,0.356688720703125,-164.77464294433594,-38.00535583496094,-8.42919921875
1776021874621681700,0.366681640625,-164.7862548828125,-37.50933837890625,-7.2520599365234375
1776021874631675600,0.376675537109375,-165.44219970703125,-37.057281494140625,-6.996246337890625
1776021874641671700,0.386671630859375,-165.60330200195312,-36.7496337890625,-6.315826416015625
1776021874651666700,0.396666748046875,-165.60890197753906,-36.54957580566406,-7.1569976806640625
1776021874661663500,0.40666357421875,-165.6146240234375,-36.376495361328125,-7.6918487548828125
