time,seconds_elapsed,activity
1776555956396000000,0.114,stationary
1776555956647000000,0.365,walking
1776555960800000000,4.518,walking
1776555965299000000,9.017,walking
1776555968562000000,12.279999755859375,walking
1776555968826000000,12.543999755859375,walking
1776555976244000000,19.962,walking
1776555978821000000,22.539,walking
1776555984004000000,27.722,walking
1776555989116000000,32.834,walking
1776555994258000000,37.97599975585938,walking
1776555999411000000,43.129,walking
1776556001980000000,45.698,walking
1776556004563000000,48.281,walking
1776556009695000000,53.413,walking
1776556019983000000,63.701,walking
1776556032834000000,76.55199975585937,walking
