time,seconds_elapsed,steps
1776555971047981800,14.76598193359375,10
1776555973618597600,17.33659765625,10
1776555976189201000,19.907200927734376,14
1776555978759791000,22.477791015625,18
1776555981330376700,25.048376708984375,20
1776555983900972000,27.618971923828123,24
1776555986471570400,30.1895703125,30
1776555989042158600,32.76015869140625,34
1776555991612739600,35.330739501953126,36
1776555994183310000,37.90131005859375,39
1776555996753868300,40.47186840820312,39
1776555999324429600,43.0424296875,43
1776556001894989800,45.61298974609375,43
1776556004465548500,48.183548583984376,43
1776556007036108000,50.75410791015625,47
1776556009606665700,53.324665771484376,51
1776556012177216500,55.895216552734375,57
1776556014747762200,58.46576220703125,61
1776556017318303200,61.03630322265625,62
1776556019888848400,63.60684838867188,68
1776556022459378700,66.17737866210938,72
1776556025029917200,68.74791723632812,74
1776556027600477200,71.31847729492188,76
1776556030171043300,73.88904321289063,80
1776556032741607000,76.45960693359375,86
