time,seconds_elapsed,activity
1776870447474000000,0.072999755859375,unknown
1776870450059000000,2.658,unknown
1776870455221000000,7.82,unknown
1776870457115000000,9.714,unknown
1776870457771000000,10.37,walking
1776870458075000000,10.674,walking
1776870465478000000,18.077000244140624,walking
1776870468050000000,20.648999755859375,walking
1776870470624000000,23.223,walking
1776870473190000000,25.789000244140624,walking
1776870475758000000,28.357000244140625,walking
1776870496320000000,48.919,walking
1776870498889000000,51.488,walking
1776870501542000000,54.14100024414063,walking
1776870504031000000,56.63,walking
1776870506602000000,59.20099975585938,walking
1776870509171000000,61.77,walking
1776870516881000000,69.48,walking
1776870522017000000,74.616,walking
