time,seconds_elapsed,steps
1776870462884955000,15.483954833984376,8
1776870465454913500,18.05391357421875,8
1776870468024910800,20.623910888671876,11
1776870470594928400,23.193928466796876,11
1776870473164934100,25.76393408203125,13
1776870475734915300,28.333915283203126,17
1776870478304874500,30.90387451171875,19
1776870480874798800,33.473798828125,26
1776870483444704500,36.04370458984375,31
1776870486014591500,38.61359155273438,35
1776870488584450300,41.1834501953125,38
1776870491154307000,43.75330712890625,42
1776870493724151000,46.32315112304688,47
1776870496293966800,48.892966796875,47
1776870498863760400,51.462760498046876,52
1776870501433532400,54.032532470703124,52
1776870504003305000,56.602304931640624,55
1776870506573093000,59.17209301757813,59
1776870509142899700,61.741899658203124,61
1776870511712717800,64.3117177734375,61
1776870514282546000,66.8815458984375,65
1776870516852382200,69.45138232421876,65
1776870519422221000,72.02122094726562,72
1776870521992059000,74.59105883789063,77
1776870524561896400,77.160896484375,82
1776870527131736800,79.73073681640625,82
1776870529701575200,82.3005751953125,87
1776870532271422000,84.870421875,90
1776870534841278500,87.44027856445312,93
1776870537411137500,90.01013745117187,97
1776870539980999200,92.57999926757813,99
1776870542550860800,95.14986083984375,103
1776870545120720400,97.71972045898437,108
