time,seconds_elapsed,steps
1776556130419083500,13.57208349609375,4
1776556132989324000,16.142323974609376,10
1776556135559546400,18.71254638671875,14
1776556138129752300,21.28275244140625,18
1776556140699952000,23.8529521484375,24
1776556143270139100,26.42313916015625,28
1776556145840319500,28.993319580078126,33
1776556148410491400,31.563491455078125,39
1776556150980673000,34.133673095703124,43
1776556153550857000,36.70385693359375,49
1776556156121036300,39.27403637695313,50
1776556158691211800,41.844211669921876,52
1776556161261366000,44.41436596679687,58
1776556163831512300,46.98451220703125,62
1776556166401653200,49.5546533203125,63
1776556168971788300,52.124788330078125,63
1776556171541909200,54.6949091796875,65
1776556174112019000,57.26501904296875,72
1776556176682116900,59.835116943359374,73
1776556179252207900,62.405207763671875,77
1776556181822278400,64.9752783203125,80
1776556184392346400,67.54534643554688,86
1776556186962406100,70.11540625,90
1776556189532455400,72.68545532226562,92
1776556192102513400,75.25551342773437,95
