time,seconds_elapsed,activity
1776817174242000000,0.069999755859375,walking
1776817176107000000,1.935,walking
1776817178371000000,4.199,walking
1776817180941000000,6.769,walking
1776817182852000000,8.68,walking
1776817183509000000,9.337,unknown
1776817186077000000,11.905,walking
1776817186388000000,12.216,walking
1776817191218000000,17.045999755859373,walking
1776817193788000000,19.616,walking
1776817206638000000,32.46600024414062,walking
1776817214345000000,40.173,walking
1776817219481000000,45.309,walking
1776817234897000000,60.725,walking
1776817237465000000,63.293,walking
