time,seconds_elapsed,steps
1776817204039204000,29.8672041015625,4
1776817206608608300,32.43660815429688,8
1776817209178007000,35.00600708007813,12
1776817211747420000,37.575419921875,12
1776817214316825900,40.144825927734374,12
1776817216886243300,42.714243408203124,16
1776817219455645400,45.2836455078125,17
1776817222025059600,47.8530595703125,20
1776817224594455300,50.42245532226563,26
1776817227163865600,52.99186547851563,28
1776817229733260000,55.561260009765626,31
1776817232302669000,58.1306689453125,31
1776817234872079600,60.70007958984375,33
