time,seconds_elapsed,activity
1776556526363000000,0.085,unknown
1776556528915000000,2.637,walking
1776556531471000000,5.193,walking
1776556538544000000,12.266,walking
1776556541753000000,15.475,walking
1776556546900000000,20.622,walking
1776556549461000000,23.183,walking
1776556552035000000,25.757,walking
1776556554607000000,28.329,walking
1776556577736000000,51.458,walking
1776556580305000000,54.027,walking
1776556583199000000,56.921,walking
1776556585523000000,59.245,stationary
1776556586083000000,59.805,walking
