time,seconds_elapsed,z,y,x
1776815076190391600,0.1043916015625,-31.71112823486328,-7.076213836669922,-19.822967529296875
1776815076200429300,0.11442919921875,-31.96271514892578,-7.00654411315918,-19.61609649658203
1776815076210466300,0.12446630859375,-32.52726745605469,-6.910684585571289,-18.798171997070312
1776815076220503300,0.13450341796875,-33.092926025390625,-6.753511428833008,-18.313499450683594
1776815076230540500,0.14454052734375,-33.52630615234375,-6.602970123291016,-17.655136108398438
1776815076240578300,0.154578369140625,-34.266883850097656,-6.532539367675781,-16.839752197265625
1776815076250615300,0.164615234375,-34.50093078613281,-6.613958358764648,-16.2012939453125
1776815076260652300,0.17465234375,-34.53150177001953,-6.8230743408203125,-15.653022766113281
1776815076270690600,0.184690673828125,-34.690460205078125,-7.248538970947266,-15.321060180664062
1776815076280727300,0.194727294921875,-34.75720977783203,-7.572635650634766,-15.235252380371094
1776815076290764300,0.204764404296875,-34.66315460205078,-7.904024124145508,-15.29827880859375
1776815076300802600,0.214802490234375,-34.677520751953125,-7.67291259765625,-15.272209167480469
1776815076310839300,0.22483935546875,-34.71321105957031,-7.5713958740234375,-15.230880737304688
1776815076320876300,0.234876220703125,-34.711822509765625,-7.029201507568359,-15.33245849609375
1776815076330914600,0.24491455078125,-34.937294006347656,-6.826976776123047,-15.304702758789062
1776815076340951600,0.25495166015625,-34.606903076171875,-6.487266540527344,-15.334548950195312
1776815076350988300,0.26498828125,-34.76403045654297,-6.498540878295898,-15.189041137695312
1776815076361026600,0.275026611328125,-34.80034637451172,-6.498987197875977,-15.381660461425781
1776815076371063600,0.2850634765625,-34.75987243652344,-6.4233245849609375,-15.565933227539062
1776815076381100500,0.2951005859375,-34.693206787109375,-6.355363845825195,-15.793624877929688
1776815076391138300,0.30513818359375,-34.23724365234375,-6.4437408447265625,-16.14905548095703
1776815076401175600,0.315175537109375,-34.38158416748047,-6.374296188354492,-16.303497314453125
1776815076411212500,0.325212646484375,-34.29084014892578,-6.383077621459961,-16.611473083496094
1776815076421250300,0.335250244140625,-34.08500671386719,-6.339958190917969,-17.032325744628906
1776815076431287600,0.34528759765625,-34.037353515625,-6.435590744018555,-17.297805786132812
1776815076441324500,0.355324462890625,-34.043067932128906,-6.568168640136719,-17.546852111816406
1776815076451362300,0.3653623046875,-33.82948303222656,-6.7950439453125,-17.71381378173828
1776815076461399300,0.3753994140625,-33.513092041015625,-6.950370788574219,-17.967636108398438
1776815076471436500,0.3854365234375,-33.253822326660156,-7.119117736816406,-18.185150146484375
1776815076481474300,0.395474365234375,-33.035850524902344,-7.0254669189453125,-18.51868438720703
1776815076491511300,0.40551123046875,-32.90471649169922,-7.1583709716796875,-18.740936279296875
1776815076501548500,0.415548583984375,-32.78936767578125,-7.296592712402344,-19.05248260498047
