time,seconds_elapsed,activity
1776815464436000000,0.082,stationary
1776815464817000000,0.463,walking
1776815466116000000,1.762,walking
1776815468679000000,4.325,walking
1776815471245000000,6.891,walking
1776815476396000000,12.042,walking
1776815478954000000,14.599999755859375,walking
1776815489234000000,24.879999755859377,walking
1776815491473000000,27.119,stationary
1776815491804000000,27.45,unknown
1776815496943000000,32.589,unknown
1776815504659000000,40.305,unknown
1776815514930000000,50.57599975585938,unknown
1776815538065000000,73.711,walking
