time,seconds_elapsed,z,y,x
1776815464459808500,0.10580859375,-29.442779541015625,-6.834897994995117,-22.69646453857422
1776815464469845800,0.115845703125,-29.428321838378906,-6.911935806274414,-22.52587890625
1776815464479881700,0.1258818359375,-29.318466186523438,-6.974555969238281,-22.579483032226562
1776815464489918700,0.135918701171875,-30.13091278076172,-6.795989990234375,-22.481826782226562
1776815464499955700,0.145955810546875,-30.599822998046875,-6.6024627685546875,-22.398216247558594
1776815464509991700,0.15599169921875,-30.453147888183594,-6.693996429443359,-22.21491241455078
1776815464520028700,0.166028564453125,-30.393692016601562,-6.615592956542969,-22.068496704101562
1776815464530065000,0.17606494140625,-30.664230346679688,-6.652431488037109,-21.94622039794922
1776815464540102000,0.186101806640625,-30.451736450195312,-6.434816360473633,-21.75652313232422
1776815464550137900,0.196137939453125,-30.53179168701172,-6.544895172119141,-21.47100067138672
1776815464560174600,0.206174560546875,-31.119903564453125,-6.539556503295898,-21.148521423339844
1776815464570211600,0.216211669921875,-31.587142944335938,-6.746599197387695,-20.748153686523438
1776815464580247600,0.22624755859375,-31.90631866455078,-6.836614608764648,-20.286300659179688
1776815464590284500,0.236284423828125,-32.15434265136719,-7.005199432373047,-19.640480041503906
1776815464600320800,0.24632080078125,-32.49163818359375,-6.893917083740234,-19.282127380371094
1776815464610357800,0.256357666015625,-32.77867889404297,-6.8964996337890625,-18.920875549316406
1776815464620393700,0.266393798828125,-32.899085998535156,-6.78550910949707,-18.635726928710938
1776815464630430700,0.2764306640625,-32.88892364501953,-6.520076751708984,-18.496681213378906
1776815464640466700,0.286466796875,-32.908416748046875,-6.353176116943359,-18.423416137695312
1776815464650503700,0.296503662109375,-33.21625518798828,-6.429527282714844,-18.322219848632812
1776815464660541000,0.306541015625,-33.13700866699219,-6.216117858886719,-18.15027618408203
1776815464670577000,0.316576904296875,-33.29894256591797,-6.041425704956055,-18.047134399414062
1776815464680613600,0.326613525390625,-33.23614501953125,-5.8333282470703125,-17.854843139648438
1776815464690649900,0.33664990234375,-33.451011657714844,-5.646450042724609,-17.752456665039062
1776815464700686600,0.3466865234375,-33.7164306640625,-5.471897125244141,-17.78905487060547
1776815464710722600,0.35672265625,-33.75480651855469,-5.307426452636719,-17.675079345703125
1776815464720759600,0.366759521484375,-33.958282470703125,-5.192914962768555,-17.634315490722656
1776815464730796800,0.376796875,-33.852272033691406,-5.0981903076171875,-17.463821411132812
1776815464740832800,0.386832763671875,-33.84278869628906,-5.247993469238281,-17.443939208984375
1776815464750869800,0.396869873046875,-33.8453369140625,-5.522975921630859,-17.313369750976562
1776815464760905700,0.40690576171875,-34.092918395996094,-5.710376739501953,-17.050582885742188
1776815464770942700,0.416942626953125,-34.10984802246094,-5.896778106689453,-16.613632202148438
1776815464780978700,0.426978759765625,-34.352691650390625,-5.791776657104492,-16.170303344726562
1776815464791015700,0.437015625,-34.451812744140625,-5.646129608154297,-15.8975830078125
1776815464801053000,0.447052978515625,-34.79042053222656,-5.619434356689453,-15.540306091308594
1776815464811089000,0.4570888671875,-34.91327667236328,-5.416582107543945,-15.312202453613281
1776815464821125600,0.467125732421875,-35.010589599609375,-5.299039840698242,-14.927330017089844
1776815464831161900,0.477161865234375,-35.46770477294922,-5.380117416381836,-14.214775085449219
1776815464841198600,0.487198486328125,-35.760986328125,-5.212282180786133,-13.635215759277344
1776815464851235600,0.497235595703125,-36.15825653076172,-4.860383987426758,-12.9976806640625
1776815464861271600,0.507271484375,-36.253501892089844,-4.647468566894531,-12.383140563964844
1776815464871308800,0.517308837890625,-36.53087615966797,-4.423862457275391,-11.706840515136719
1776815464881344800,0.5273447265625,-36.38677215576172,-4.194877624511719,-11.286949157714844
