time,seconds_elapsed,activity
1776870286984000000,0.081,unknown
1776870291241000000,4.338,unknown
1776870293502000000,6.599000244140625,unknown
1776870303782000000,16.879000244140624,walking
1776870306355000000,19.452,walking
1776870311491000000,24.588,walking
1776870316631000000,29.728,walking
1776870321768000000,34.865,walking
1776870324338000000,37.43499975585937,walking
1776870332047000000,45.144,walking
1776870334619000000,47.716,walking
1776870339754000000,52.85099975585938,walking
1776870344897000000,57.994,walking
1776870347463000000,60.56,walking
