time,seconds_elapsed,batteryLevel,batteryState,lowPowerMode
1776870287906000000,1.002999755859375,0.30000001192092896,charging,true
1776870288907000000,2.004,0.30000001192092896,charging,true
1776870289907000000,3.004,0.30000001192092896,charging,true
1776870290908000000,4.005,0.30000001192092896,charging,true
1776870291908000000,5.005,0.30000001192092896,charging,true
1776870292909000000,6.006,0.30000001192092896,charging,true
1776870293909000000,7.006,0.30000001192092896,charging,true
1776870294910000000,8.007000244140626,0.30000001192092896,charging,true
1776870295910000000,9.007000244140626,0.30000001192092896,charging,true
1776870296911000000,10.008,0.30000001192092896,charging,true
1776870297911000000,11.008,0.30000001192092896,charging,true
1776870298912000000,12.009,0.30000001192092896,charging,true
1776870299913000000,13.01,0.30000001192092896,charging,true
1776870300913000000,14.01,0.30000001192092896,charging,true
1776870301913000000,15.01,0.30000001192092896,charging,true
1776870302914000000,16.010999755859373,0.30000001192092896,charging,true
1776870303914000000,17.010999755859373,0.30000001192092896,charging,true
1776870304915000000,18.012,0.30000001192092896,charging,true
1776870305915000000,19.012,0.30000001192092896,charging,true
1776870306916000000,20.013,0.30000001192092896,charging,true
1776870307916000000,21.013,0.30000001192092896,charging,true
1776870308917000000,22.014,0.30000001192092896,charging,true
1776870309917000000,23.014,0.30000001192092896,charging,true
1776870310918000000,24.015000244140627,0.30000001192092896,charging,true
1776870311919000000,25.016,0.30000001192092896,charging,true
1776870312919000000,26.016,0.30000001192092896,charging,true
1776870313919000000,27.016,0.30000001192092896,charging,true
1776870314920000000,28.017,0.30000001192092896,charging,true
1776870315920000000,29.017,0.30000001192092896,charging,true
1776870316921000000,30.018,0.30000001192092896,charging,true
1776870317923000000,31.02,0.30000001192092896,charging,true
1776870318928000000,32.025,0.30000001192092896,charging,true
1776870319933000000,33.03,0.30000001192092896,charging,true
1776870320937000000,34.034,0.30000001192092896,charging,true
1776870321942000000,35.039000244140624,0.30000001192092896,charging,true
1776870322943000000,36.04,0.30000001192092896,charging,true
1776870323943000000,37.04,0.30000001192092896,charging,true
1776870324944000000,38.041,0.30000001192092896,charging,true
1776870325944000000,39.041,0.30000001192092896,charging,true
1776870326945000000,40.042,0.30000001192092896,charging,true
1776870327945000000,41.042,0.30000001192092896,charging,true
1776870328946000000,42.04299975585938,0.30000001192092896,charging,true
1776870329946000000,43.04299975585938,0.30000001192092896,charging,true
1776870330947000000,44.044,0.30000001192092896,charging,true
1776870331947000000,45.044,0.30000001192092896,charging,true
1776870332948000000,46.045,0.30000001192092896,charging,true
1776870333953000000,47.05,0.30000001192092896,charging,true
1776870334958000000,48.05500024414062,0.30000001192092896,charging,true
1776870335962000000,49.058999755859375,0.30000001192092896,charging,true
1776870336966000000,50.063000244140625,0.30000001192092896,charging,true
1776870337968000000,51.065,0.30000001192092896,charging,true
1776870338970000000,52.06699975585938,0.30000001192092896,charging,true
1776870339975000000,53.072,0.30000001192092896,charging,true
1776870340978000000,54.07499975585937,0.30000001192092896,charging,true
1776870341983000000,55.08,0.30000001192092896,charging,true
1776870342986000000,56.082999755859376,0.30000001192092896,charging,true
1776870343987000000,57.084,0.30000001192092896,charging,true
1776870344994000000,58.09099975585937,0.30000001192092896,charging,true
1776870345998000000,59.09500024414063,0.30000001192092896,charging,true
1776870347001000000,60.098,0.30000001192092896,charging,true
1776870348013000000,61.11,0.30000001192092896,charging,true
