time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1776814963276710100,-0.523289794921875,162.7658321181586,-1,-1,30.28877933810235,189.2164451400092,-1,18.812792887843184,3.3783759752921667,-97.7400430061618,-1
1776814963910253000,0.110253173828125,162.75932966575957,-1,-1,30.28878691311846,189.20994268761015,-1,18.892099461898738,3,-97.74004248872234,-1
1776814964046845000,0.246844970703125,162.75949560509062,-1,-1,30.28878691311786,189.2101086269412,-1,18.893839599099373,3,-97.74004248872342,-1
1776814969379199000,5.579198974609375,162.75710739578793,-1,-1,30.288708914350067,189.2077204176385,-1,25.717621383101672,3,-97.7400476216643,-1
1776814969824144000,6.024143798828125,162.74392347144146,-1,-1,30.288715726617063,189.19453649329205,-1,17.59704139566175,3,-97.74011177299289,-1
1776814975850155800,12.05015576171875,162.734818331812,-1,-1,30.288689471028544,189.18543135366258,-1,22.20105580577615,3,-97.74008875905756,-1
1776814976365974800,12.565974853515625,162.7178482583268,-1,-1,30.28870517049339,189.16846128017738,-1,16.33543994596641,3,-97.74007871550234,-1
1776814982391304000,18.591303955078125,162.70364713422688,-1,-1,30.288683690143102,189.15426015607747,-1,21.81813709709847,3,-97.74006863087799,-1
1776814982841216000,19.041216064453124,162.73437543568443,-1,-1,30.288695107334743,189.184988457535,-1,16.230517556264008,3,-97.74002193511348,-1
1776814988934793000,25.13479296875,162.76279066200814,-1,-1,30.288677198426093,189.21340368385873,-1,21.894580160184557,3,-97.74003278198714,-1
1776814989395646200,25.595646240234377,162.83825515718124,-1,-1,30.288681683574957,189.28886817903182,-1,16.21732465287858,3,-97.740025059622,-1
1776814995428327200,31.6283271484375,162.91040697594497,-1,-1,30.288669069716203,189.36101999779555,-1,21.613859615391014,3,-97.7400345038662,-1
1776814995854497000,32.0544970703125,162.97956989634415,-1,-1,30.288687199707365,189.43018291819473,-1,16.131981844631902,3,-97.7400443014926,-1
1776815001884742100,38.0847421875,163.0471671470631,-1,-1,30.288672182465906,189.4977801689137,-1,21.918863373218343,3,-97.7400468810616,-1
1776815002339508000,38.53950805664063,163.0399444811903,-1,-1,30.288649130705398,189.4905575030409,-1,16.25268768153561,3,-97.74000359795916,-1
1776815008245730000,44.44572998046875,163.0329200778421,-1,-1,30.28865554162257,189.4835330996927,-1,25.286641632199522,3,-97.74003520479415,-1
1776815008365793000,44.56579296875,163.02797459628997,-1,-1,30.288655539856773,189.47858761814055,-1,25.29447547324954,3,-97.74003520799701,-1
1776815008671309800,44.87130981445313,162.99211887200295,-1,-1,30.288685358400834,189.44273189385353,-1,17.44737456234171,3,-97.74003843337023,-1
1776815014698601000,50.89860107421875,162.95334402530418,-1,-1,30.28867048795353,189.40395704715476,-1,22.324740065433755,3,-97.74004336602113,-1
1776815015190398000,51.39039794921875,162.92669617152407,-1,-1,30.288723139960194,189.37730919337466,-1,16.413767398736173,3,-97.74005628680666,-1
1776815021215456000,57.4154560546875,162.89909684508604,-1,-1,30.288695546977962,189.34970986693662,-1,21.6278420687327,3,-97.74005447248805,-1
1776815021641675000,57.84167504882812,162.90224342802134,-1,-1,30.288716780014862,189.35285644987192,-1,16.136385732590156,3,-97.73998995228655,-1
1776815027664856800,63.86485693359375,162.9055919281186,-1,-1,30.288690880833503,189.3562049499692,-1,21.883533244861813,3,-97.74001260629215,-1
1776815028164610800,64.36461083984375,162.92511552009924,-1,-1,30.288706364189174,189.37572854194983,-1,16.237170698270504,3,-97.74004246568111,-1
1776815034189152000,70.38915209960938,162.9890368468763,-1,-1,30.28868503819813,189.4396498687269,-1,21.52106943580858,3,-97.74004560854019,-1
1776815034615583000,70.8155830078125,163.0293933542699,-1,-1,30.28871593425667,189.48000637612049,-1,16.092565943383484,3,-97.74008055614405,-1
